종목코드,년도,분기,배당금지급,유동자산,유동부채,영업이익(손실),수익(매출액),당기순이익(손실),자본총계,자산총계,부채총계,ATR,MARKETCAP,TSF_SLOPE
140860,2023.0,2.0,2759628800.0,132656000000.0,41123936568.0,10104769610.0,39444618132.0,7623927851.0,128350000000.0,176908000000.0,48557926861.0,0.036,1308903142984.15,0.264
143160,2023.0,2.0,4483258550.0,267700000000.0,79105197511.0,7988964999.0,66365194119.0,14266620519.0,326294000000.0,420923000000.0,94628936280.0,0.036,209505447047.342,-0.224
145720,2023.0,2.0,2587167300.0,322993000000.0,248983000000.0,32391139313.0,106391000000.0,20165973011.0,408465000000.0,713011000000.0,304546000000.0,0.047,1604980416650.85,0.141
150900,2023.0,2.0,1141742200.0,26474290096.0,8539526609.0,385896214.0,9959438929.0,-986576718.0,30420480396.0,46250805995.0,15830325599.0,0.036,103602282124.934,0.066
155650,2023.0,2.0,4554503000.0,75829962430.0,21085591812.0,5114362067.0,61432655477.0,9866039230.0,120931000000.0,142854000000.0,21923306189.0,0.034,123856959459.155,-0.064
160980,2023.0,2.0,3066128400.0,132033000000.0,62618454736.0,2532085277.0,38032490717.0,8577898982.0,159492000000.0,224342000000.0,64849590877.0,0.029,156107577919.344,0.017
170030,2023.0,2.0,2508900760.0,128496000000.0,65083606735.0,4321718106.0,82165652219.0,9998460381.0,144105000000.0,211198000000.0,67092881120.0,0.059,134992026639.482,0.069
171120,2023.0,2.0,3124798700.0,87112631800.0,49325059610.0,3669627614.0,36730176744.0,5911521965.0,128791000000.0,178261000000.0,49469929722.0,0.062,214512944151.253,1.026
183300,2023.0,2.0,9940569000.0,167824000000.0,104211000000.0,6461755711.0,62808545411.0,7735600740.0,282601000000.0,503245000000.0,220645000000.0,0.036,645424332161.662,0.417
189980,2023.0,2.0,1547729880.0,59461849163.0,33994791590.0,4728278611.0,27958367897.0,2605932006.0,96078751327.0,208293000000.0,112214000000.0,0.031,113790730913.119,0.2
192400,2023.0,2.0,24862708000.0,435938000000.0,98263701096.0,14921915245.0,174157000000.0,68317837022.0,1011390000000.0,1162910000000.0,151522000000.0,0.021,584286535329.956,-0.015
192440,2023.0,2.0,0.0,250928000000.0,35002785286.0,6094516507.0,91578580193.0,9654374110.0,457547000000.0,498763000000.0,41215761431.0,0.023,215396906755.668,0.096
194370,2023.0,2.0,6319346000.0,440097000000.0,308714000000.0,19298536429.0,207600000000.0,16485569875.0,271231000000.0,748483000000.0,477253000000.0,0.026,195499982848.0,-0.033
198080,2023.0,2.0,0.0,131273000000.0,103854000000.0,-687210353.0,57506439341.0,-1422096023.0,89173014214.0,204004000000.0,114831000000.0,0.049,46516012345.4694,-0.084
203450,2023.0,2.0,21496860.0,35769507926.0,12303766117.0,-462559029.0,10300515799.0,157304659.0,38088103242.0,55794599532.0,17706496290.0,0.043,51376514210.585,0.101
210540,2023.0,2.0,2758962750.0,216459000000.0,74557076654.0,11297312824.0,114293000000.0,18069870810.0,256486000000.0,332839000000.0,76353197116.0,0.038,165515139515.822,0.271
214680,2023.0,2.0,500000.0,80786260611.0,29809458930.0,128104095.0,23115178237.0,-318688853.0,84988340311.0,122746000000.0,37757885967.0,0.083,262492931422.571,1.256
